epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.67384,0.76658,0.54,1,0.76926,0.00010002,0.00010002,0.00010002
2,3.9928,0.65834,0.69,1,0.58189,0.000145196,0.000145196,0.000145196
3,5.97758,0.5612,0.75,1,0.49694,0.000113356,0.000113356,0.000113356
