epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.22049,0.75455,0.5,1,0.73147,0.00010002,0.00010002,0.00010002
2,12.8473,0.63938,0.74,1,0.59641,0.000145196,0.000145196,0.000145196
3,20.5283,0.54541,0.8,1,0.50579,0.000113356,0.000113356,0.000113356
