epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.00393,0.76219,0.51,1,0.74532,0.00010002,0.00010002,0.00010002
2,7.08343,0.63785,0.75,1,0.58543,0.000145196,0.000145196,0.000145196
3,10.3804,0.54474,0.8,1,0.4927,0.000113356,0.000113356,0.000113356
