epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.93313,0.77174,0.55,1,0.73665,0.00010002,0.00010002,0.00010002
2,6.16323,0.65346,0.69,1,0.60084,0.000173801,0.000173801,0.000173801
3,10.3943,0.51907,0.79,1,0.46564,0.000201374,0.000201374,0.000201374
4,14.3841,0.47247,0.8,1,0.44576,0.000182737,0.000182737,0.000182737
5,19.0952,0.46247,0.84,1,0.41853,0.00011789,0.00011789,0.00011789
